기간,품목코드,품목명,반입_금액(1000달러),반입_금액_증가율(퍼센트),반입_중량(kg),반입_중량_증가율(퍼센트),반출_금액(1000달러),반출_금액_증가율(퍼센트),반출_중량(kg),반축_중량_증가율(퍼센트),반출입_금액(1000달러),반출입_금액_증가율(퍼센트),반출입_중량(kg),반출입_중량_증가율(퍼센트)
1993,14,제14류 식물성 편조물용 재료와 다른 류에 분류되지 아니한 식물성 생산품,95.33,-23.101,372438,-12.14,,,,,95.33,-23.101,372438,-12.14
1993,16,제16류 육류·어류·갑각류·연체동물 또는 기타 수생무척추동물의 조제품,112.768,-65.849,77341,-56.695,,,,,112.768,-65.849,77341,-56.695
1993,17,제17류 당류와 설탕과자,,,,,62.5,,200000,,62.5,,200000,
1993,19,제19류 곡물·분·전분 또는 밀크의 조제품과 베이커리 제품,186.723,,239640,,,,,,186.723,,239640,
1993,22,제22류 음료·알콜 및 식초,1186.034,426.543,0,,,,,,1186.034,426.543,0,
1993,23,제23류 식품 공업에서 생기는 잔재물 및 웨이스트와 조제사료,601.987,19.101,1510578,20.268,,,,,601.987,19.101,1510578,20.268
1993,24,제24류 담배와 제조한 담배대용물,113.829,,45612,,,,,,113.829,,45612,
1993,25,"제25류 소금, 황, 토석류 및 석고·석회와 시멘트",848.06,-92.971,19829130,-90.906,,,,,848.06,-92.971,19829130,-90.906
1993,27,"제27류 광물성 연료, 광물유와 이들의 증류물, 역청물질 및 광물성 왁스",522.129,-79.234,11039000,-82.428,,,,,522.129,-79.234,11039000,-82.428
1993,28,제28류 무기화학품 및 귀금속·희토류금속·방사성원소 또는 동위원소의 유기 또는 무기화합물,43.744,-70.591,104370,-92.333,,,,,43.744,-70.591,104370,-92.333
1993,29,제29류 유기화학품,,,,,794.152,278.58,5510137,2614.353,794.152,278.58,5510137,2614.353
1993,33,제33류 정유와 레지노이드 및 조제향료와 화장품류 또는 화장용품류,346.32,193.292,69200,109.696,,,,,346.32,193.292,69200,109.696
1993,34,제34류 비누·유기계면활성제·조제세제·조제윤활제·인조왁스·조제왁스·광택 또는 연마조제품·양초와 이와 유사한 물품·조형용 페이스트·치과용왁스와 플라스터를 기제로 한 치과용 조제품,,,,,123.629,,408200,,123.629,,408200,
1993,39,제39류 플라스틱과 그 제품,619.28,-43.573,1186354,-44.948,314.989,-95.711,250668,-97.209,934.269,-88.934,1437022,-87.099
1993,44,제44류 목재와 그 제품 및 목탄,111.804,-37.194,0,-100,,,,,111.804,-37.194,0,-100
1993,46,제46류 짚·에스파르토 또는 기타 조물재료의 제품과 농세공물 및 지조세공물,530.48,21.328,0,-100,,,,,530.48,21.328,0,-100
1993,48,"제48류 지와 판지, 제지용 펄프, 지 또는 판지의 제품",,,,,0.579,-99.546,33,-75.373,0.579,-99.546,33,-75.373
1993,50,제50류 견,428.052,-15.456,41751,155.17,,,,,428.052,-15.456,41751,155.17
1993,51,제51류 양모·섬수모 또는 조수모·마모사 및 이들의 직물,,,,,30.793,-77.729,0,,30.793,-77.729,0,
1993,52,제52류 면,,,,,964.951,,23,,964.951,186.081,23,-99.985
1993,53,제53류 기타 식물성 방직용 섬유와 지사 및 지사의 직물,,,,,145.517,,0,,145.517,,0,
1993,54,제54류 인조필라멘트,,,,,253.6,,407,,253.6,,407,
1993,55,제55류 인조스테이플섬유,6.03,,0,,3557.033,8460.849,3123974,,3563.063,8475.362,3123974,
1993,56,제56류 워딩·펠트 및 부직포·특수사·끈·코디지·로프 및 케이블과 이들의 제품,,,,,434.286,64.499,4430,,434.286,64.499,4430,
1993,58,"제58류 특수직물, 터후트한 섬유직물, 레이스, 태피스트리, 트리밍과 자수포",,,,,719.811,1828.34,29545,1184.565,719.811,1775.924,29545,928.367
1993,59,제59류 침투·도포·피복 또는 적층한 방직용 섬유의 직물 ; 공업용의 방직용 섬유제품,,,,,29.939,-72.113,60,-99.534,29.939,-72.113,60,-99.534
1993,60,제60류 메리야스 편물과 뜨게질 편물,,,,,37.162,-28.128,0,-100,37.162,-28.128,0,-100
1993,61,제61류 의류와 그 부속품(메리야스 편물 또는 뜨게질 편물의 것에 한한다),1376.506,811.744,0,-100,,,,,1376.506,664.407,0,-100
1993,62,제62류 의류와 그 부속품(메리야스 편물 또는 뜨게질 편물의 것을 제외한다),5446.538,115.963,0,,42.378,-37.889,1390,,5488.916,111.91,1390,
1993,63,"제63류 제품으로 된 방직용 섬유의 기타 물품, 세트, 사용하던 의류·사용하던 방직용 섬유제품 및 넝마",1653.577,893.395,0,,0.419,-38.832,620,,1653.996,889.575,620,
1993,64,제64류 신발류·각반 및 이와 유사한 것과 이들의 부분품,139.694,11.594,0,,8.08,-89.864,0,-100,147.774,-27.879,0,-100
1993,67,"제67류 조제우모와 솜털 및 그 제품, 조화, 인모제품",15.883,,3690,,,,,,15.883,,3690,
1993,68,제68류 석·플라스터·시멘트·석면·운모 또는 이와 유사한 재료의 제품,5.415,596.911,28000,5960.606,,,,,5.415,596.911,28000,5960.606
1993,71,"제71류 천연 또는 양식진주·귀석 또는 반귀석·귀금속·귀금속을 입힌 금속 및 이들의 제품, 모조신변장식용품과 주화",86753.393,111.357,66118,95.963,,,,,86753.393,111.357,66118,95.963
1993,72,제72류 철강,14245.718,-38.173,55636200,-45.733,34.363,-98.244,20000,-99.602,14280.081,-42.876,55656200,-48.255
1993,73,제73류 철강의 제품,141.887,2402.416,356000,71100,0.001,,1,,141.888,2402.433,356001,71100.2
1993,76,제76류 알루미늄과 그 제품,,,,,225.48,,100000,,225.48,,100000,
1993,78,제78류 연(鉛)과 그 제품,342.069,-80.535,924951,-67.591,,,,,342.069,-80.535,924951,-67.591
1993,79,제79류 아연과 그 제품,52780.327,-11.007,55376584,19.79,,,,,52780.327,-11.007,55376584,19.79
1993,85,"제85류 전기기기와 그 부분품, 녹음기와 음성재생기·텔레비젼의 영상 및 음성의 기록기와 재생기 및 이들의 부분품과 부속품",80.411,1988.055,0,,462.55,,0,,542.961,13999.22,0,
1993,90,제90류 광학기기·사진용기기·영화용기기·측정기기·검사기기·정밀기기와 의료용기기 및 이들의 부분품과 부속품,,,,,120.994,,0,,120.994,,0,
1993,95,제95류 완구·유희용구·운동용구 및 이들의 부분품과 부속품,39.903,,0,,,,,,39.903,,0,
